Position, Company, Location, URL
Python  인공지능(AI) 외 신입/경력, 사회정보연구원, 서울 은평구, https://kr.indeed.com/rc/clk?jk=b7fad584859458e4&bb=PCWTqRTekIQLIfx4yh6B9MXPL8e2kUePY80Shb-G_xr-lN1P54JPCmA25M8P4syv&xkcb=SoAX67M3H2EcNGg0pr0LbzkdCdPP&fccid=8da9b3751cf2e16c&vjs=3
Deep Learning Researcher (Intern), Qualcomm, 서울, https://kr.indeed.com/rc/clk?jk=701e887d6f3eb831&bb=PCWTqRTekITONMbnZePE590b4E5eQUlObcFOsv2dcZ6G1--mXkvKtXsvWIB7TfPe&xkcb=SoA-67M3H2EcNGg0pr0JbzkdCdPP&fccid=d40ebe11fc879426&vjs=3
[AI] AI Researcher, 현대오토에버, 서울 강남구, https://kr.indeed.com/rc/clk?jk=74f5a02de0e62acf&bb=1Ung2v8kB9yvLQxPlVJT_qDQ3M8-zseuSKC6-u9r9hrkiwBUNPYDTWvCwEi_UoeF&xkcb=SoCh67M3H2EcNBA0pr0LbzkdCdPP&fccid=d5a22a3e93377742&vjs=3
파이썬(python) 백엔드 개발자, 아토머스, 서울 강남구, https://kr.indeed.com/rc/clk?jk=7e8499c0e2fe4afb&bb=1Ung2v8kB9yd-tydyU6isOpHsL24uqz3HUpIxL0U-0VL-0CnZc-xFzxILlQOwzLb&xkcb=SoCI67M3H2EcNBA0pr0JbzkdCdPP&fccid=660bbb21789ab63d&vjs=3
감사부문 감사지원팀 데이터분석 인턴, EY, 서울 영등포구, https://kr.indeed.com/rc/clk?jk=6583ae3760b05eeb&bb=1Ung2v8kB9zoD0DiFw-yvehvPsQqxprTChamTvCwFqngPhjeybfjLv2WdclSTOJZ&xkcb=SoAG67M3H2EcNBA0pr0ObzkdCdPP&fccid=1544766d4c2915b0&vjs=3
AAM 자율비행 통합시스템 개발[연구원  책임연구원], 현대자동차그룹, 서울, https://kr.indeed.com/rc/clk?jk=7cfe6fd5312c5519&bb=PzBYswoSViN94y6rfn8LKYqtfU7Y_kabe8L6CEg7kPY1fx_xLhDj0BTv4dGrqK23&xkcb=SoDk67M3H2EcNBg0pr0LbzkdCdPP&fccid=980d6ecc399a3373&vjs=3
Python application & Algorithm 개발자, 메디픽셀, 서울 강남구, https://kr.indeed.com/rc/clk?jk=5863f8f64ab04c1d&bb=PzBYswoSViPj_41C5TnXwn_ZT63ugpGLQ8qCfnEf5GEDEJH705sKzCCCmtaotYiT&xkcb=SoDN67M3H2EcNBg0pr0JbzkdCdPP&fccid=aba88c202493b8a5&vjs=3
[상시지원] AI & ML Engineer, Riiid Labs, 서울, https://kr.indeed.com/rc/clk?jk=52f5974359383a74&bb=PzBYswoSViPybbpFcfVK3zKucrs0o1SZX-7lm-YMXckynG4mgH_8EPQzuPgSrRB5&xkcb=SoD367M3H2EcNBg0pr0PbzkdCdPP&fccid=933989f3b0ffe928&vjs=3
Customer Engineer  AI  Google Cloud (English  Korean), Google, 서울, https://kr.indeed.com/rc/clk?jk=ad5151b588296e20&bb=OziBKkrSK1mY_HhwtFoDtXVmU4TeNeuBW5ONrUYqhB9flHpHAEfDtoXCv1ZyFwL8&xkcb=SoDe67M3H2EcNAA0pr0KbzkdCdPP&fccid=a5b4499d9e91a5c6&vjs=3
2024 LS ITC 연계형 인턴, 엘에스아이티씨, 서울 용산구, https://kr.indeed.com/rc/clk?jk=2e9e0d115a963181&bb=OziBKkrSK1lZr9fQSa13LLmJihpUWiP0UgEKQ6TcSpf4gKW21PqT2tHEi0Eb5yuT&xkcb=SoD367M3H2EcNAA0pr0IbzkdCdPP&fccid=962c32a18a114f30&vjs=3
Data Scientist 경력 채용, 한화그룹, 서울, https://kr.indeed.com/rc/clk?jk=f9dcb34a937d8521&bb=OziBKkrSK1loGXsi3p8nl6rcmQvxan4JWaXj7WOhSw6MFXPRPZ8ghN7b1kd3JvzU&xkcb=SoDN67M3H2EcNAA0pr0ObzkdCdPP&fccid=bd0dc1817223394f&vjs=3
[인텔리전스랩스] 데이터 분석가 (마케팅), Nexon, 경기도 성남, https://kr.indeed.com/rc/clk?jk=aec83962a6b7ff50&bb=OziBKkrSK1nN6KI_qdYnL3FHiFB2UJBQkKucUMB9RFSWnRUH5mCFKVmyH_3R33ql&xkcb=SoAN67M3H2EcNAA0pr0DbzkdCdPP&fccid=aba87288e4cc3687&vjs=3
파이썬 백엔드 엔지니어(Python Backend Engineer), Dunamu, 서울, https://kr.indeed.com/rc/clk?jk=272637ad170fe32c&bb=Nj023fr5fNdLcZFdadlDcJqgqCJzyliHVhSchnAr29VYC2AmDHXzXqtsoChI1tAd&xkcb=SoCb67M3H2EcNAg0pr0KbzkdCdPP&fccid=54c9c086b03b7cdc&vjs=3
Python Backend Engineer, 마인드에이아이, 서울 중구, https://kr.indeed.com/rc/clk?jk=1d18acbd074015a7&bb=Nj023fr5fNeA0gufoODdNekVIKqjMGv9waYbZMtem1fizF_0JNPSoc0qGBvcF6yc&xkcb=SoCy67M3H2EcNAg0pr0IbzkdCdPP&fccid=6e36b32060404d12&vjs=3
[SDV] Data Scientist[연구원  책임연구원], 현대자동차그룹, 서울 강남구, https://kr.indeed.com/rc/clk?jk=020aee8f471db6e8&bb=Nj023fr5fNexorw3FvSPtm0VGZpOWud-CcQ5HxxoGpnWPxyb-IBKyyoQGA95F0ij&xkcb=SoAV67M3H2EcNAg0pr0NbzkdCdPP&fccid=980d6ecc399a3373&vjs=3
데이터 엔지니어 (+분석가), 토이스미스, 서울 강남구, https://kr.indeed.com/rc/clk?jk=d8f4680a6018ca9c&bb=-u11hqtyx0MLReBm2dQKunk-hoPwihkHcNbD6df9a2U0T_-AGg1XKvX-FU_Fbf1k&xkcb=SoBL67M3H2Eb81WSHZ0LbzkdCdPP&fccid=008985cb11d73d3d&vjs=3
Data플랫폼 전문가 경력 채용, 한화그룹, 서울, https://kr.indeed.com/rc/clk?jk=1bf696b572d69547&bb=fhmm51IyQuenvRHaWAvS5e9nO3InYMAbAjjs741a1cfoHIcTqX0JoS4TgcMf9_ne&xkcb=SoC667M3H2Eb812SHZ0KbzkdCdPP&fccid=bd0dc1817223394f&vjs=3
데이터분석가 신입/경력, 어니컴, 서울 용산구, https://kr.indeed.com/rc/clk?jk=d4fe66a66e4604ae&bb=fhmm51IyQueWRngxp_HXkFP9Plf8L3lZpbpABByksfMPVEifO3tU-vQ13Vb1qaiW&xkcb=SoCT67M3H2Eb812SHZ0IbzkdCdPP&fccid=5c6ed722e9346a08&vjs=3
